Date: Week,Average of Price ($)
"January 1, 2024 - January 7, 2024",164.19
"January 8, 2024 - January 14, 2024",164.19
"January 15, 2024 - January 21, 2024",164.19
"January 22, 2024 - January 28, 2024",167.62
"January 29, 2024 - February 4, 2024",164.62
"February 5, 2024 - February 11, 2024",161.47
"February 12, 2024 - February 18, 2024",159.62
"February 19, 2024 - February 25, 2024",164.14
"February 26, 2024 - March 3, 2024",164.65
"March 4, 2024 - March 10, 2024",192.66
"March 11, 2024 - March 17, 2024",164.62
"March 18, 2024 - March 24, 2024",164.62
"March 25, 2024 - March 31, 2024",160.44
"April 1, 2024 - April 7, 2024",189.02
"April 8, 2024 - April 14, 2024",162.74
"April 15, 2024 - April 21, 2024",199.05
"April 22, 2024 - April 28, 2024",199.19
"April 29, 2024 - May 5, 2024",164.28
"May 6, 2024 - May 12, 2024",169.35
"May 13, 2024 - May 19, 2024",181.91
"May 20, 2024 - May 26, 2024",166.43
"May 27, 2024 - June 2, 2024",170.55
"June 3, 2024 - June 9, 2024",191.28
"June 10, 2024 - June 16, 2024",169.22
"June 17, 2024 - June 23, 2024",186.48
"June 24, 2024 - June 30, 2024",183.79
"July 1, 2024 - July 7, 2024",159.77
"July 8, 2024 - July 14, 2024",170.84
"July 15, 2024 - July 21, 2024",150.79
"July 22, 2024 - July 28, 2024",158.38
"July 29, 2024 - August 4, 2024",178.23
"August 5, 2024 - August 11, 2024",197.06
"August 12, 2024 - August 18, 2024",164.40
"August 19, 2024 - August 25, 2024",197.55
"August 26, 2024 - September 1, 2024",166.46
"September 2, 2024 - September 8, 2024",169.90
"September 9, 2024 - September 15, 2024",154.27
"September 16, 2024 - September 22, 2024",164.94
"September 23, 2024 - September 29, 2024",165.83
"September 30, 2024 - October 6, 2024",218.08
"October 7, 2024 - October 13, 2024",173.70
"October 14, 2024 - October 20, 2024",169.95
"October 21, 2024 - October 27, 2024",173.20
"October 28, 2024 - November 3, 2024",168.79
"November 4, 2024 - November 10, 2024",181.43
"November 11, 2024 - November 17, 2024",191.39
"November 18, 2024 - November 24, 2024",180.67
"November 25, 2024 - December 1, 2024",173.84
"December 2, 2024 - December 8, 2024",171.98
"December 9, 2024 - December 15, 2024",175.29
"December 16, 2024 - December 22, 2024",178.05
"December 23, 2024 - December 29, 2024",171.34
"December 30, 2024 - January 5, 2025",175.42
"January 6, 2025 - January 12, 2025",162.20
"January 13, 2025 - January 19, 2025",165.29
"January 20, 2025 - January 26, 2025",208.13
"January 27, 2025 - February 2, 2025",167.77
"February 3, 2025 - February 9, 2025",166.36
"February 10, 2025 - February 16, 2025",152.56
"February 17, 2025 - February 23, 2025",152.99
"February 24, 2025 - March 2, 2025",163.92
"March 3, 2025 - March 9, 2025",159.74
"March 10, 2025 - March 16, 2025",174.37
"March 17, 2025 - March 23, 2025",161.77
"March 24, 2025 - March 30, 2025",143.39
"March 31, 2025 - April 6, 2025",157.46
"April 7, 2025 - April 13, 2025",144.57
"April 14, 2025 - April 20, 2025",143.61
"April 21, 2025 - April 27, 2025",159.46
"April 28, 2025 - May 4, 2025",172.49
"May 5, 2025 - May 11, 2025",155.34
"May 12, 2025 - May 18, 2025",148.02
"May 19, 2025 - May 25, 2025",161.28
"May 26, 2025 - June 1, 2025",151.07
"June 2, 2025 - June 8, 2025",154.33
"June 9, 2025 - June 15, 2025",149.85
"June 16, 2025 - June 22, 2025",153.02
"June 23, 2025 - June 29, 2025",169.54
"June 30, 2025 - July 6, 2025",120.88
"July 7, 2025 - July 13, 2025",125.73
"July 14, 2025 - July 20, 2025",119.58
"July 21, 2025 - July 27, 2025",120.01
"July 28, 2025 - August 3, 2025",118.73
"August 4, 2025 - August 10, 2025",117.16
"August 11, 2025 - August 17, 2025",117.16
"August 18, 2025 - August 24, 2025",168.36
"August 25, 2025 - August 31, 2025",170.89
"September 1, 2025 - September 7, 2025",175.77
"September 8, 2025 - September 14, 2025",167.90
"September 15, 2025 - September 21, 2025",151.75
"September 22, 2025 - September 28, 2025",160.68
