Registry,Distinct values of UID
Acorn,40
ACR,932
Architecture for REDD+ Transactions,27
Asia Carbon Institute,2
Australian Carbon Credit Units,"2,753"
Balkan Carbon Credit Registry,5
BioCarbon Standard,98
British Columbia Carbon Registry,27
Carbon Assets Tracking System (CATS),17
Carrot Carbon Eco,4
Cercarbono (listed on EcoRegistry),216
City Forest Credits,60
Clean Development Mechanism,"13,173"
Climate Action Reserve,"1,148"
COLCX,34
Equitable Earth (formerly ERS),16
Global Carbon Council,194
Global C-Sink,99
Gold Standard Impact Registry,"3,891"
International Carbon Registry,164
Isometric,29
Japan Credit Scheme,"1,256"
Joint Crediting Mechanism,133
Label Bas Carbone,"2,054"
Nori,22
Peatland Code,361
Pending registry,28
Plan Vivo,29
Puro.earth,95
Rainbow,94
Registry Carbon Units (Pеестр Углеродных Eдиниц),73
Sertifikat Pengurangan Emisi GRK (SPE),10
Social Carbon,14
Universal Carbon Registry,423
Unregistered CDR,"1,322"
Verra,"4,760"
Woodland Carbon Code,"2,292"
