Sector,Country,Vintage,Price,Price type
Waste Disposal,United States,2012,$4.25,Ask
Renewable Energy,India,2022,$0.65,Ask
Forestry and Land Use,Sierra Leone,2022,$16.00,Ask
Chemical Processes/Industrial Manufacturing,United States,2022,$4.00,Ask
Chemical Processes/Industrial Manufacturing,Bangladesh,2022,$4.25,Ask
Renewable Energy,Turkey,2020,$1.60,Ask
Waste Disposal,United States,2018,$5.25,Ask
Forestry and Land Use,Cambodia,2016,$0.20,Ask
Forestry and Land Use,Brazil,2018,$3.50,Ask
Renewable Energy,Laos,2022,$5.20,Ask
